7.03999;-33.8624;-5.2382
7.07999;-33.8258;-5.23828
7.11999;-33.788;-5.23817
7.15999;-33.7491;-5.23787
7.19999;-33.7089;-5.23735
7.23999;-33.6675;-5.23662
7.27999;-33.6248;-5.23566
7.31999;-33.5807;-5.23446
7.35999;-33.5353;-5.23302
7.39999;-33.4885;-5.23132
7.43999;-33.4403;-5.22935
7.47999;-33.3905;-5.2271
7.51999;-33.3392;-5.22457
7.55999;-33.2864;-5.22174
7.59999;-33.2319;-5.21861
7.63999;-33.1758;-5.21515
7.67999;-33.1181;-5.21138
7.71999;-33.0586;-5.20726
7.75999;-32.9973;-5.2028
7.79999;-32.9343;-5.19799
7.83999;-32.8694;-5.19281
7.87999;-32.8026;-5.18726
7.91999;-32.7339;-5.18132
7.95999;-32.6633;-5.17498
7.99999;-32.5907;-5.16825
8.03999;-32.516;-5.16109
8.07999;-32.4393;-5.15352
8.11999;-32.3604;-5.14551
8.15999;-32.2794;-5.13705
8.19999;-32.1962;-5.12815
8.23999;-32.1108;-5.11878
8.27999;-32.0231;-5.10894
8.31999;-31.9331;-5.09861
8.35999;-31.8408;-5.08779
8.39999;-31.746;-5.07647
8.43999;-31.6489;-5.06464
8.47999;-31.5935;-5.05779
8.51999;-31.5369;-5.05071
8.55999;-31.4791;-5.04339
8.59999;-31.42;-5.03585
8.63999;-31.3598;-5.02808
8.67999;-31.2985;-5.02009
8.71999;-31.236;-5.01189
8.75999;-31.1724;-5.00348
8.79999;-31.1077;-4.99485
8.83999;-31.0419;-4.98603
8.87999;-30.9751;-4.977
8.91999;-30.9073;-4.96777
8.95999;-30.8384;-4.95836
8.99999;-30.7686;-4.94875
9.03999;-30.6978;-4.93896
9.07999;-30.626;-4.92899
9.11999;-30.5533;-4.91884
9.15999;-30.4797;-4.90852
9.19999;-30.4053;-4.89803
9.23999;-30.3299;-4.88738
9.27999;-30.2537;-4.87656
9.31999;-30.1768;-4.86559
9.35999;-30.0989;-4.85446
9.39999;-30.0204;-4.84318
9.43999;-29.941;-4.83175
9.47999;-29.8609;-4.82019
9.51999;-29.7801;-4.80848
9.55999;-29.6986;-4.79664
9.59999;-29.6165;-4.78468
9.63999;-29.5336;-4.77258
9.67999;-29.4502;-4.76036
9.71999;-29.3661;-4.74802
9.75999;-29.2814;-4.73557
9.79999;-29.1962;-4.72301
9.83999;-29.1103;-4.71034
9.87999;-29.024;-4.69756
9.91999;-28.9372;-4.68469
9.95999;-28.8498;-4.67172
9.99999;-28.762;-4.65866
10.04;-28.6738;-4.64551
10.08;-28.5851;-4.63228
10.12;-28.496;-4.61897
10.16;-28.4065;-4.60558
10.2;-28.3167;-4.59212
10.24;-28.2265;-4.57859
10.28;-28.1359;-4.565
10.32;-28.0451;-4.55134
10.36;-27.954;-4.53763
10.4;-27.8626;-4.52387
10.44;-27.771;-4.51006
10.48;-27.6792;-4.4962
10.52;-27.5872;-4.4823
10.56;-27.495;-4.46836
10.6;-27.4026;-4.4544
10.64;-27.3101;-4.4404
10.68;-27.2175;-4.42637
10.72;-27.1247;-4.41233
10.76;-27.0319;-4.39826
10.8;-26.9391;-4.38418
10.84;-26.8462;-4.3701
10.88;-26.7533;-4.356
10.92;-26.6604;-4.34191
10.96;-26.5675;-4.32781
11;-26.4747;-4.31372
11.04;-26.382;-4.29964
11.08;-26.2893;-4.28557
11.12;-26.1967;-4.27152
11.16;-26.1043;-4.2575
11.2;-26.0121;-4.24349
11.24;-25.92;-4.22952
11.28;-25.8281;-4.21557
11.32;-25.7364;-4.20167
11.36;-25.6449;-4.1878
11.4;-25.5537;-4.17398
11.44;-25.4628;-4.1602
11.48;-25.3722;-4.14648
11.52;-25.2819;-4.13282
11.56;-25.1919;-4.11921
11.6;-25.1023;-4.10567
11.64;-25.0131;-4.09219
11.68;-24.9242;-4.07879
11.72;-24.8358;-4.06546
11.76;-24.7479;-4.05221
11.8;-24.6604;-4.03905
11.84;-24.5733;-4.02597
11.88;-24.4868;-4.01298
11.92;-24.4008;-4.00009
11.96;-24.3154;-3.98729
12;-24.2305;-3.9746
12.04;-24.1462;-3.96201
12.08;-24.0625;-3.94954
12.12;-23.9795;-3.93718
12.16;-23.8971;-3.92493
12.2;-23.8153;-3.91281
12.24;-23.7343;-3.90081
12.28;-23.6539;-3.88895
12.32;-23.5743;-3.87722
12.36;-23.4955;-3.86562
12.4;-23.4174;-3.85417
12.44;-23.3401;-3.84286
12.48;-23.2637;-3.8317
12.52;-23.188;-3.82069
12.56;-23.1133;-3.80984
12.6;-23.0394;-3.79915
12.64;-22.9664;-3.78863
12.68;-22.8943;-3.77827
12.72;-22.8221;-3.7679
12.76;-22.7501;-3.75755
12.8;-22.6784;-3.7472
12.84;-22.6068;-3.73686
12.88;-22.5354;-3.72653
12.92;-22.4643;-3.71621
12.96;-22.3933;-3.7059
13;-22.3226;-3.6956
13.04;-22.2521;-3.68532
13.08;-22.1818;-3.67505
13.12;-22.1117;-3.6648
13.16;-22.0418;-3.65456
13.2;-21.9721;-3.64434
13.24;-21.9026;-3.63414
13.28;-21.8333;-3.62395
13.32;-21.7643;-3.61379
13.36;-21.6954;-3.60364
13.4;-21.6268;-3.59351
13.44;-21.5583;-3.58341
13.48;-21.4901;-3.57333
13.52;-21.4221;-3.56327
13.56;-21.3543;-3.55324
13.6;-21.2867;-3.54323
13.64;-21.2193;-3.53325
13.68;-21.1522;-3.52329
13.72;-21.0852;-3.51336
13.76;-21.0184;-3.50346
13.8;-20.9519;-3.49359
13.84;-20.8856;-3.48375
13.88;-20.8194;-3.47394
13.92;-20.7535;-3.46416
13.96;-20.6878;-3.45441
14;-20.6224;-3.4447
14.04;-20.5571;-3.43502
14.08;-20.492;-3.42538
14.12;-20.4272;-3.41577
14.16;-20.3625;-3.4062
14.2;-20.2981;-3.39666
14.24;-20.2339;-3.38717
14.28;-20.1698;-3.37771
14.32;-20.106;-3.3683
14.36;-20.0425;-3.35892
14.4;-19.9791;-3.34959
14.44;-19.9159;-3.3403
14.48;-19.853;-3.33105
14.52;-19.7902;-3.32185
14.56;-19.7277;-3.31269
14.6;-19.6654;-3.30358
14.64;-19.6033;-3.29451
14.68;-19.5414;-3.28549
14.72;-19.4797;-3.27652
14.76;-19.4182;-3.2676
14.8;-19.357;-3.25873
14.84;-19.296;-3.24991
14.88;-19.2351;-3.24115
14.92;-19.1745;-3.23243
14.96;-19.1141;-3.22377
15;-19.0539;-3.21516
15.04;-18.9939;-3.20661
15.08;-18.9342;-3.19811
15.12;-18.8746;-3.18967
15.16;-18.8153;-3.18129
15.2;-18.7562;-3.17297
15.24;-18.6973;-3.1647
15.28;-18.6386;-3.1565
15.32;-18.5801;-3.14836
15.36;-18.5218;-3.14028
15.4;-18.4638;-3.13226
15.44;-18.4059;-3.1243
15.48;-18.3483;-3.11641
15.52;-18.2909;-3.10859
15.56;-18.2337;-3.10083
15.6;-18.1767;-3.09313
15.64;-18.1199;-3.08551
15.68;-18.0634;-3.07795
15.72;-18.007;-3.07046
15.76;-17.9509;-3.06305
15.8;-17.895;-3.0557
15.84;-17.8393;-3.04842
15.88;-17.7838;-3.04122
15.92;-17.7286;-3.03409
15.96;-17.6735;-3.02704
16;-17.6187;-3.02006
16.04;-17.564;-3.01316
16.08;-17.5096;-3.00633
16.12;-17.4555;-2.99958
16.16;-17.4015;-2.99291
16.2;-17.3477;-2.98632
16.24;-17.2942;-2.97981
16.28;-17.2409;-2.97338
16.32;-17.1877;-2.96704
16.36;-17.1348;-2.96077
16.4;-17.0822;-2.95459
16.44;-17.0297;-2.9485
16.48;-16.9775;-2.94248
16.52;-16.9254;-2.93656
16.56;-16.8736;-2.93072
16.6;-16.822;-2.92497
16.64;-16.7706;-2.91931
16.68;-16.7195;-2.91373
16.72;-16.6685;-2.90825
16.76;-16.6178;-2.90286
16.8;-16.5673;-2.89756
16.84;-16.517;-2.89235
16.88;-16.4669;-2.88724
16.92;-16.3999;-2.88054
16.96;-16.3336;-2.87406
17;-16.2679;-2.86781
17.04;-16.2027;-2.86178
17.08;-16.1382;-2.85596
17.12;-16.0742;-2.85036
17.16;-16.0108;-2.84496
17.2;-15.948;-2.83976
17.24;-15.8857;-2.83477
17.28;-15.824;-2.82996
17.32;-15.7628;-2.82535
17.36;-15.7021;-2.82092
17.4;-15.6419;-2.81666
17.44;-15.5823;-2.81259
17.48;-15.5231;-2.80868
17.52;-15.4644;-2.80495
17.56;-15.4062;-2.80137
17.6;-15.3485;-2.79795
17.64;-15.2912;-2.79469
17.68;-15.2344;-2.79157
17.72;-15.1781;-2.7886
17.76;-15.1221;-2.78577
17.8;-15.0666;-2.78308
17.84;-15.0115;-2.78052
17.88;-14.9569;-2.77808
17.92;-14.9026;-2.77577
17.96;-14.8487;-2.77357
18;-14.7951;-2.77149
18.04;-14.742;-2.76952
18.08;-14.6892;-2.76765
18.12;-14.6368;-2.76588
18.16;-14.5847;-2.76421
18.2;-14.5329;-2.76263
18.24;-14.4815;-2.76114
18.28;-14.4303;-2.75973
